GEOID,NAME,variable,estimate,moe
01,Alabama,B01003_001,4876250,NA
02,Alaska,B01003_001,737068,NA
04,Arizona,B01003_001,7050299,NA
05,Arkansas,B01003_001,2999370,NA
06,California,B01003_001,39283497,NA
08,Colorado,B01003_001,5610349,NA
09,Connecticut,B01003_001,3575074,NA
10,Delaware,B01003_001,957248,NA
11,District of Columbia,B01003_001,692683,NA
12,Florida,B01003_001,20901636,NA
13,Georgia,B01003_001,10403847,NA
15,Hawaii,B01003_001,1422094,NA
16,Idaho,B01003_001,1717750,NA
17,Illinois,B01003_001,12770631,NA
18,Indiana,B01003_001,6665703,NA
19,Iowa,B01003_001,3139508,NA
20,Kansas,B01003_001,2910652,NA
21,Kentucky,B01003_001,4449052,NA
22,Louisiana,B01003_001,4664362,NA
23,Maine,B01003_001,1335492,NA
24,Maryland,B01003_001,6018848,NA
25,Massachusetts,B01003_001,6850553,NA
26,Michigan,B01003_001,9965265,NA
27,Minnesota,B01003_001,5563378,NA
28,Mississippi,B01003_001,2984418,NA
29,Missouri,B01003_001,6104910,NA
30,Montana,B01003_001,1050649,NA
31,Nebraska,B01003_001,1914571,NA
32,Nevada,B01003_001,2972382,NA
33,New Hampshire,B01003_001,1348124,NA
34,New Jersey,B01003_001,8878503,NA
35,New Mexico,B01003_001,2092454,NA
36,New York,B01003_001,19572319,NA
37,North Carolina,B01003_001,10264876,NA
38,North Dakota,B01003_001,756717,NA
39,Ohio,B01003_001,11655397,NA
40,Oklahoma,B01003_001,3932870,NA
41,Oregon,B01003_001,4129803,NA
42,Pennsylvania,B01003_001,12791530,NA
44,Rhode Island,B01003_001,1057231,NA
45,South Carolina,B01003_001,5020806,NA
46,South Dakota,B01003_001,870638,NA
47,Tennessee,B01003_001,6709356,NA
48,Texas,B01003_001,28260856,NA
49,Utah,B01003_001,3096848,NA
50,Vermont,B01003_001,624313,NA
51,Virginia,B01003_001,8454463,NA
53,Washington,B01003_001,7404107,NA
54,West Virginia,B01003_001,1817305,NA
55,Wisconsin,B01003_001,5790716,NA
56,Wyoming,B01003_001,581024,NA
72,Puerto Rico,B01003_001,3318447,NA
